name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to,uid,traceable_to,rating,Manual_Rating,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces
Data_Handling_and_Storage,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designData_Handling_and_Storage,DHS010,DHS_010,2,NONE,NONE,NONE,NONE,NONE
GNSS_Time_Reference,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,GNSS_Receiver_FDomain,NONE,NONE,NONE,NONE,NONE,my_designGNSS_Time_Reference,DHS050,GNSS_Receiver_FDomain,3,NONE,NONE,NONE,NONE,NONE
Autonomous_System_Startup,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,System_Components_FDomain,NONE,NONE,NONE,NONE,NONE,my_designAutonomous_System_Startup,DHS100,nan,3,NONE,NONE,NONE,NONE,NONE
Reconfigurable_Data_Handling,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designReconfigurable_Data_Handling,DHS150,DHS_010,3,NONE,NONE,NONE,NONE,NONE
Communication_for_Command_and_Telemetry,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designCommunication_for_Command_and_Telemetry,COM010,DHS_030_DHS_090,3,NONE,NONE,NONE,NONE,NONE
Data_Rate_Management,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designData_Rate_Management,COM120,OBDH_FDomain,1,NONE,NONE,NONE,NONE,NONE
AOCS,AOCS,NONE;GNSS_Receiver;Reaction_Wheel;Star_Tracker;Magnetorquer;Deployable_Boom;IO_remote_data_processing_and_power_distribution_board;IMU;Sun_Sensor;Magnetometer,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designAOCS,Operational_Availability;Repeating_Observation_Geometry,2,3,NONE,NONE,NONE,NONE,NONE
Communications,Communications,NONE;Antenna;Antenna_Pointing_Mechanism;Modem;Security_Module;Transciever;Transmitter,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designCommunications,Communication_for_Command_and_Telemetry;Data_Rate_Management,3,3,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,NONE;Onboard_Computer;Onboard_Computer;Onboard_Computer;Onboard_Computer;Onboard_Computer;Onboard_Computer;Onboard_Computer,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designOBDH,Data_Handling_and_Storage;GNSS_Time_Reference;Autonomous_System_Startup;Reconfigurable_Data_Handling,3,3,NONE,NONE,NONE,NONE,NONE
Payload,Payload,NONE;Payload_Actuator;Payload_Electronics;Payload_Unit,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload,Onboard_Consumables_Management;Global_Coverage_Imaging;LowLatency_Data_Handling;Onboard_Calibration_Management;Sun_and_Moon_Irradiance_Measurement;Spectral_Radiance_Measurement,3,3,NONE,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,NONE;Propellant_Tank_Thermal_Control;Tank;Thruster;Manifold_Control_System;Filter;Pressure_Transducer;Valve;Manifold_Heat_Sensor,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPropulsion_Subsystem,Lifetime_Management,2,3,NONE,NONE,NONE,NONE,NONE
Nominal,Nominal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designNominal,Onboard_Consumables_Management,3,3,NONE,NONE,NONE,NONE,NONE
Imaging,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designImaging,Repeating_Observation_Geometry,3,3,NONE,NONE,NONE,NONE,NONE
Comms,Comms,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designComms,LowLatency_Data_Handling,3,3,NONE,NONE,NONE,NONE,NONE
LEOP,LEOP,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designLEOP,GNSS_Time_Reference,2,3,NONE,NONE,NONE,NONE,NONE
Manoeuvre,Manoeuvre,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designManoeuvre,Sun_and_Moon_Irradiance_Measurement,2,3,NONE,NONE,NONE,NONE,NONE
Safe,Safe,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSafe,Data_Handling_and_Storage,2,3,NONE,NONE,NONE,NONE,NONE
GNSS_Receiver,GNSS_Receiver,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designGNSS_Receiver,GNSS_Time_Reference,3,3,NONE,NONE,NONE,NONE,NONE
Reaction_Wheel,Reaction_Wheel,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designReaction_Wheel,Operational_Availability,3,3,NONE,NONE,NONE,NONE,NONE
Star_Tracker,Star_Tracker,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designStar_Tracker,Repeating_Observation_Geometry,3,3,NONE,NONE,NONE,NONE,NONE
Magnetorquer,Magnetorquer,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designMagnetorquer,Onboard_Consumables_Management,2,3,NONE,NONE,NONE,NONE,NONE
Deployable_Boom,Deployable_Boom,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designDeployable_Boom,Onboard_Calibration_Management,1,2,NONE,NONE,NONE,NONE,NONE
IO_remote_data_processing_and_power_distribution_board,IO_remote_data_processing_and_power_distribution_board,NONE,GNSS_Receiver;GNSS_Receiver;Reaction_Wheel;Star_Tracker;Star_Tracker;Magnetorquer;Magnetorquer,GNSS_Receiver;GNSS_Receiver;Reaction_Wheel;Star_Tracker;Star_Tracker;Magnetorquer;Magnetorquer,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designIO_remote_data_processing_and_power_distribution_board,LowLatency_Data_Handling,2,3,3,3,NONE,NONE,NONE
IMU,IMU,NONE,IO_remote_data_processing_and_power_distribution_board,IO_remote_data_processing_and_power_distribution_board,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designIMU,Data_Handling_and_Storage,2,3,3,3,NONE,NONE,NONE
Sun_Sensor,Sun_Sensor,NONE,IO_remote_data_processing_and_power_distribution_board,IO_remote_data_processing_and_power_distribution_board,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSun_Sensor,Sun_and_Moon_Irradiance_Measurement,3,3,3,3,NONE,NONE,NONE
Magnetometer,Magnetometer,NONE,IO_remote_data_processing_and_power_distribution_board,IO_remote_data_processing_and_power_distribution_board,Deployable_Boom,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designMagnetometer,Autonomous_System_Startup,3,3,3,3,3,NONE,NONE
Antenna,Antenna,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designAntenna,Communication_for_Command_and_Telemetry,2,3,NONE,NONE,NONE,NONE,NONE
Antenna_Pointing_Mechanism,Antenna_Pointing_Mechanism,NONE,NONE,NONE,Antenna,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designAntenna_Pointing_Mechanism,Repeating_Observation_Geometry,1,3,NONE,NONE,3,NONE,NONE
Modem,Modem,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designModem,Data_Rate_Management,3,3,NONE,NONE,NONE,NONE,NONE
Security_Module,Security_Module,NONE,NONE,Modem,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSecurity_Module,Reconfigurable_Data_Handling,1,2,NONE,3,NONE,NONE,NONE
Transciever,Transciever,NONE,NONE,Antenna;Security_Module,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designTransciever,LowLatency_Data_Handling,3,3,NONE,2,NONE,NONE,NONE
Transmitter,Transmitter,NONE,NONE,Antenna;Security_Module,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designTransmitter,Communication_for_Command_and_Telemetry,3,3,NONE,2,NONE,NONE,NONE
Onboard_Computer,Onboard_Computer,NONE,Transciever,IO_remote_data_processing_and_power_distribution_board;Security_Module;Transmitter,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designOnboard_Computer,GNSS_Time_Reference;Autonomous_System_Startup;Reconfigurable_Data_Handling;Communication_for_Command_and_Telemetry;Data_Rate_Management;LowLatency_Data_Handling;Data_Handling_and_Storage,3,3,1,2,NONE,NONE,NONE
Payload_Actuator,Payload_Actuator,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload_Actuator,Repeating_Observation_Geometry,2,1,NONE,NONE,NONE,NONE,NONE
Payload_Electronics,Payload_Electronics,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload_Electronics,Data_Handling_and_Storage,3,3,NONE,NONE,NONE,NONE,NONE
Payload_Unit,Payload_Unit,NONE,Payload_Actuator;Payload_Electronics,Payload_Actuator;Payload_Electronics,Payload_Actuator,NONE,Payload_Actuator,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload_Unit,Spectral_Radiance_Measurement,3,3,2,2,1,NONE,1
Propellant_Tank_Thermal_Control,Propellant_Tank_Thermal_Control,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPropellant_Tank_Thermal_Control,Lifetime_Management,2,3,NONE,NONE,NONE,NONE,NONE
Tank,Tank,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designTank,Onboard_Consumables_Management,2,3,NONE,NONE,NONE,NONE,NONE
Thruster,Thruster,NONE,NONE,NONE,NONE,Tank,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designThruster,Operational_Availability,3,3,NONE,NONE,NONE,1,NONE
Manifold_Control_System,Manifold_Control_System,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designManifold_Control_System,Repeating_Observation_Geometry,2,3,NONE,NONE,NONE,NONE,NONE
Filter,Filter,NONE,NONE,NONE,NONE,Tank,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designFilter,Data_Handling_and_Storage,2,2,NONE,NONE,NONE,2,NONE
Pressure_Transducer,Pressure_Transducer,NONE,NONE,NONE,NONE,Tank;Filter,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPressure_Transducer,GNSS_Time_Reference,1,3,NONE,NONE,NONE,2,NONE
Valve,Valve,NONE,NONE,NONE,NONE,Tank;Thruster;Filter;Pressure_Transducer,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designValve,Communication_for_Command_and_Telemetry,2,2,NONE,NONE,NONE,2,NONE
Manifold_Heat_Sensor,Manifold_Heat_Sensor,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designManifold_Heat_Sensor,Onboard_Calibration_Management,1,3,NONE,NONE,NONE,NONE,NONE
