name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to,uid,traceable_to,rating
Antenna,Antenna,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designAntenna,2_Communications_FDomain,3
Antenna_Pointing_Mechanism,Antenna_Pointing_Mechanism,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designAntenna_Pointing_Mechanism,2_Communications_FDomain,2
EDRS_Terminal,EDRS_Terminal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designEDRS_Terminal,2_Communications_FDomain,1
Modem,Modem,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designModem,2_Communications_FDomain,3
Reciever,Reciever,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designReciever,2_Communications_FDomain,2
Security_Module,Security_Module,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSecurity_Module,2_Communications_FDomain,1
Transciever,Transciever,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designTransciever,2_Communications_FDomain,3
Transmitter,Transmitter,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designTransmitter,2_Communications_FDomain,3
Thruster,Thruster,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designThruster,3_PROPULSION_FDomain,3
Valve,Valve,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designValve,3_PROPULSION_FDomain,3
Tank,Tank,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designTank,3_PROPULSION_FDomain,3
Pressure_Transducer,Pressure_Transducer,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPressure_Transducer,2_Communications_FDomain,3
Filter,Filter,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designFilter,2_Communications_FDomain,2
Manifold_Control_System,Manifold_Control_System,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designManifold_Control_System,2_Communications_FDomain,3
Manifold_Heat_Sensor,Manifold_Heat_Sensor,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designManifold_Heat_Sensor,1_AOCS_FDomain,2
Propellant_Tank_Thermal_Control,Propellant_Tank_Thermal_Control,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPropellant_Tank_Thermal_Control,1_AOCS_FDomain,2
Onboard_Computer,Onboard_Computer,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designOnboard_Computer,3_PROPULSION_FDomain,3
Payload_Actuator,Payload_Actuator,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload_Actuator,2_Communications_FDomain,2__
Payload_Electronics,Payload_Electronics,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload_Electronics,3_PROPULSION_FDomain,3__
Payload_Unit,Payload_Unit,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload_Unit,3_PROPULSION_FDomain,3
Battery,Battery,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3_PROPULSION_FDomain,3__
PCDU,PCDU,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3_PROPULSION_FDomain,3__
Power_Bus,Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2_Communications_FDomain,3__
Solar_Array,Solar_Array,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3_PROPULSION_FDomain,3__
Solar_Array_Actuator,Solar_Array_Actuator,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2_Communications_FDomain,3
