Req_ID,Requirement,domain,Functional_Non_Functional,,,
REDACTED,REDACTED,OBDH_Domain;Software_Domain;File_System_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Software_Domain;File_System_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Software_Domain;File_System_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Software_Domain;File_System_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Software_Domain;File_System_Domain;Data_Compression_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Data_Storage_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Data_Storage_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,OBDH_Domain;Telemetry_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Comms_Domain,Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Comms_Domain;Real_time_data_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Comms_Domain;Real_time_data_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Data_Transfer_Rate_Domain,Non_Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Ground_Station_Domain;Transmitter_Domain;Antenna_Domain,Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Ground_Station_Domain;Transmitter_Domain;Antenna_Domain,Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Ground_Station_Domain;Transmitter_Domain;Antenna_Domain;File_System_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Ground_Station_Domain;Transmitter_Domain,Non_Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Ground_Station_Domain;Transmitter_Domain,Non_Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Ground_Station_Domain;Transmitter_Domain;Doppler_Tracking_Domain,Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Data_Transfer_Rate_Domain;Payload_Domain;Communications_Domain,Non_Functional_Requirement,,,
REDACTED,REDACTED,Data_Transfer_Rate_Domain;Communications_Domain;Telemetry_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Data_Transfer_Rate_Domain;Communications_Domain,Non_Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain,Non_Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Data_Error_Rate_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Data_Error_Rate_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Data_Error_Rate_Domain,Non_Functional_Requirement,,,THIS ONE
REDACTED,REDACTED,Communications_Domain;Operational_Domain,Functional_Requirement,,,
REDACTED,REDACTED,Communications_Domain;Transmitter_Domain;Reciever_Domain;Simultaneous_Operation_Domain,Functional_Requirement,,,THIS ONE
